author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Dowling, Theodore Edward"
"Downer, Charles Alfred"
"Downing, Dennis J."
"Downs, E. C. (Edward C.)"
"Downs, James F."
"Dowsett, C. F. (Charles Finch)"
"Dowson, Ernest Christopher"
"Dowst, Robert Saunders"
"Doyle, A. P., Rev."
"Doyle, Arthur Conan"
"Doyle, C. W. (Charles William)"
"Doyle, Edward"
"Doyle, Richard"
"Dozon, Auguste"
"Dozy, Reinhart Pieter Anne"
"Drachmann, A. B. (Anders Björn)"
"Drachmann, Holger"
"Dragoumes, Ion"
"Drake, Benjamin"
"Drake, Durant"
"Drake, Francis S. (Francis Samuel)"
"Drake, James, active 1825"
"Drake, Joseph Rodman"
"Drake, Nathan"
"Drake, Samuel Adams"
"Dralet, M. (Etienne François)"
"Drannan, William F."
"Draper, A. S."
"Draper, Ernest Gallaudet"
"Draper, George Orrin"
"Draper, Henry"
"Draper, John William"
"Draycott, Gladys M."
"Drayson, Alfred W. (Alfred Wilks)"
"Drayton, Daniel"
"Drayton, Michael"
"Dreiser, Theodore"
"Dresser, Christopher"
"Drews, Arthur"
"Drey, Arthur"
"Dreyfus, A."
"Dreyfus, Alfred"
"Dreyfus, Suelette"
"Dreyspring, Adolphe"
"Drielst, J. van"
"Driesch, Hans"
"Driggs, John B. (John Beach)"
"Drinkwater, John"
"Driscoll, James R."
"Driscoll, Lieutenant James R."
"Droste-Hülshoff, Annette von"
"Drouet, Juliette"
"Droysen, Johann Gustav"
"Droz, Gustave"
"Drumgoold, Kate"
"Drummond, Hamilton"
"Drummond, Henry"
"Drummond, James"
"Drummond, William Henry"
"Drury, Dru"
"Dry, Wakeling"
"Dryden, John F. (John Fairfield)"
"Dryden, John"
"Dryfoos, Dave"
"Du Bois, Louis François"
"Du Bois, W. E. B. (William Edward Burghardt)"
"Du Boisgobey, Fortuné"
"Du Casse, Albert"
"Du Chaillu, Paul B. (Paul Belloni)"
"Du Cros, Simon, active 17th century"
"Du Hausset, Mme."
"Du Maurier, George"
"Du Moncel, Th., comte"
"Du Moulin, Louis Eugène"
"Du Parquet, Marguerite"
"Du Verger de Saint-Thomas, Charles, comte"
"Du Veuzit, Max"
"Du Wés, Giles"
"Du, Guangting"
"DuPuy, William Atherton"
"Dubarry, Gustave"
"Dubh, Scian"
"Dubnow, Simon"
"Dubourg, George"
"Dubus, Édouard"
"Dubut de Laforest, Jean-Louis"
"Duchaussois, Pierre Jean Baptiste"
"Duchochois, Peter C."
"Duckworth, W. L. H. (Wynfrid Laurence Henry)"
"Ducray-Duminil, M. (François Guillaume)"
"Dudeney, Henry Ernest"
"Dudley, Howard"
"Duellman, William Edward"
"Dufau, Th."
"Duff Gordon, Lucie, Lady"
"Duff, J. L."
"Duff, Mildred"
"Dufferin and Ava, Frederick Temple Blackwood, Marquis of"
"Duffield, A. J. (Alexander James)"
"Duffield, Elizabeth M."
"Duffield, J. W."
"Duffy, Edward"
"Dufresny, Charles Rivière"
"Dufrénoy, Mme."
"Dugas, Ch."
"Dugdale, Thomas"
"Duhamel du Monceau, Henri-Louis"
"Duhamel, Georges"
"Dujardin, Edouard"
"Duke, Basil Wilson"
"Duke, Edward"
"Dulac, Edmund"
"Dulles, John Foster"
"Dumas, Alexandre"
"Dumesnil, Antoine Jules"
"Dumont, Júlio"
"Dumont, Theron Q."
"Dumur, Louis"
"Dumée, Paul"
"Dunant, Henry"
"Dunaway, Wayland Fuller"
"Dunbar, Paul Laurence"
"Dunbar-Nelson, Alice Moore"
"Duncan, A. W."
"Duncan, David"
"Duncan, Francis"
"Duncan, Gregory"
"Duncan, Julia K."
"Duncan, Norman"
"Duncan, Sara Jeannette"
"Duncan, Thomas D."
"Duncker, Max"
"Dunderdale, George"
"Dundonald, Thomas Barnes Cochrane, Earl of"
"Dundonald, Thomas Cochrane, Earl of"
"Dunham, Curtis"
"Dunham, Jacob"
"Dunlap, William"
"Dunlop, John Colin"
"Dunlop, William"
"Dunn, Arthur William"
"Dunn, Byron A. (Byron Archibald)"
"Dunn, J. Allan, (Joseph Allan)"
"Dunn, Jonathan"
"Dunn, Oscar"
"Dunn-Pattison, R. P."
"Dunne, Finley Peter"
"Dunning, Hal"
"Dunsany, Lord"
"Dunton, Edith K. (Edith Kellogg)"
"Dunton, James G. (James Gerald)"
"Dupont, Marcel"
"Duprè, Giovanni"
"Dupuy, Ernest"
"Dupuy, Paul"
"Durand, Charles"
"Durand, Guillaume"
"Durand, l'Abbé (Durand, Édouard-Joseph)"
"Durant, Will"
"Duras, Claire de Durfort, duchesse de"
"Duras, Louise Henriette Charlotte Philippine (de Noailles) de Durfort, duchesse de"
"Durer, Albert"
"Duret, Théodore"
"Durham, Andrew Everett"
"Durham, M. E. (Mary Edith)"
"Durham, Robert Lee"
"Durham, Victor G."
"Durivage, Francis A. (Francis Alexander)"
"Durkheim, Émile"
"Durkin, Douglas"
"Durnford, Hugh George Edmund"
"Durning-Lawrence, Edwin, Sir"
"Durrant, Stephen David"
"Durston, George"
"Dury, John"
"Duryee, William Budington"
"Duthie, William"
"Dutt, Toru"
"Dutt, William A. (William Alfred)"
"Dutta, R. N."
"Dutton, Louie M. Knight"
"Dutton, Louise Elizabeth"
"Duval, Louis François Marin"
"Dwight, Henrietta Latham"
"Dwight, James"
"Dwight, Margaret Van Horn"
"Dwyer, James Francis"
"Dye, Charles"
"Dye, Eva Emery"
"Dyer, B. W. (Benjamin Wheeler)"
"Dyer, Frank Lewis"
"Dyer, Gertrude P."
"Dyer, R. E. H. (Reginald Edward Harry)"
"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)"
"Dyer, Walter A. (Walter Alden)"
"Dyke, Harry Weston Van"
"Dyke, John C. Van"
"Dykes, John Bacchus"
"Dyson, Edward"
"Dávalos, Juan Carlos"
"Díaz del Castillo, Bernal"
"Díaz, Porfirio"
"Díaz-Caneja, Guillermo"
"Döblin, Alfred"
"Döhring, Angela"
"Döllinger, Johann Joseph Ignaz von"
"Döring, Georg"
"Döring, Heinrich"
"Dürer, Albrecht"
"Eade, Peter, Sir"
"Ealand, C. A."
"Eales, Mary"
"Earle, Alice Morse"
"Earle, Augustus"
"Earle, Franklin Sumner"
"Earle, John"
"Earls, Michael"
"Eassie, William"
"East, Timothy"
"Eastlake, Charles Lock, Sir"
"Eastman, Charles Alexander"
"Eastman, Edwin"
"Eastman, Elaine Goodale"
"Eastman, Mary H. (Mary Henderson)"
"Eastman, Max"
"Eastwood, Frances"
"Eaton, Charlotte Annie Waldie"
"Eaton, Daniel Cady"
"Eaton, Harriet Phillips"
"Eaton, Mary, active 1823-1849"
"Eaton, Theodore H. (Theodore Hildreth)"
"Eaton, Walter Prichard"
"Eayrs, Hugh S."
"Ebbinghaus, Hermann"
"Ebbutt, M. I. (Maud Isabel)"
"Eberhard, Wolfram"
"Ebers, Georg"
"Ebner-Eschenbach, Marie von"
"Eccott, W. J."
"Echard, Lawrence"
"Echols, Joan"
"Eckenstein, Lina"
"Eckman, Rena Sarah"
"Eckstein, Ernst"
"Eckstorm, Fannie Hardy"
"Eddington, Arthur Stanley, Sir"
"Eddy, Arthur Jerome"
"Eddy, Daniel C. (Daniel Clarke)"
"Eddy, Mary Baker"
"Eddy, Sherwood"
"Eddy, T. M. (Thomas Mears)"
"Eddy, Velda Allis"
"Eddy, Walter Hollis"
"Edelfelt, Berta"
"Edelsheim, Franz, Freiherr von"
"Eden, Charles H. (Charles Henry)"
"Eden, Emily"
"Eden, Helen Parry"
"Eden, Horatia K. F."
"Eden, R. C."
"Edgar, John G. (John George)"
"Edgcumbe, Richard"
"Edge, Frederick Milnes"
"Edgell, Edmund Verney Wyatt"
"Edgerton, Joseph K. (Joseph Ketchum)"
"Edgeworth, Maria"
"Edgeworth, Richard Lovell"
"Edginton, May"
"Edholm, Lizette M."
"Edison, Theodore M."
"Edison, Thomas A. (Thomas Alva)"
"Edman, Irwin"
"Edmonds, S. Emma E. (Sarah Emma Evelyn)"
"Edmonds, T. J."
"Edmondson, G. C."
"Edmunds, Pocahontas Wight"
"Edmundson, George"
"Edrich, George"
"Edschmid, Kasimir"
"Edson, Milan C."
"Edward VII, King of Great Britain"
"Edward, of Norwich"
"Edwardes, S. M. (Stephen Meredyth)"
"Edwardes, Tickner"
"Edwards, Albert"
"Edwards, Amelia Ann Blanford"
"Edwards, Clayton"
"Edwards, Eliezer"
"Edwards, F. G. (Frederick George)"
"Edwards, George Wharton"
"Edwards, George"
"Edwards, H. Sutherland (Henry Sutherland)"
"Edwards, Harry Stillwell"
"Edwards, John Milton"
"Edwards, Jonathan"
"Edwards, Lyford P. (Lyford Paterson)"
"Edwards, Owen Morgan, Sir"
"Edwards, Thomas Charles"
"Edwards, Thomas"
"Edwards, William H. (William Hanford)"
"Edwards, William James"
"Edwards, William Seymour"
"Edwords, Clarence E. (Clarence Edgar)"
"Eeden, Frederik van"
"Eekhoff, W. (Wopke)"
"Eekhoud, Georges"
"Eells, Elsie Spicer"
"Eells, Myron"
"Effinger, John R. (John Robert)"
"Eftaliotis, Argyris"
"Egan, Jack"
"Egan, Maurice Francis"
"Egan, W. C. (William Constantine)"
"Egbert, H. M."
"Egerton, Beatrice"
"Egerton-Warburton, Geoffrey"
"Eggleston, Edward"
"Eggleston, George Cary"
"Eggleston, Margaret W. (Margaret White)"
"Egleston, Nathaniel Hillyer"
"Ehrenstein, Albert"
"Ehrenstein, Carl"
"Eichendorff, Joseph, Freiherr von"
"Einstein, Albert"
"Eiselen, Frederick Carl"
"Eisenhower, Dwight D. (Dwight David)"
"Eisler, Rudolf"
"Eivind, R."
"Eje, Anders"
"Ekblaw, Karl John Theodore"
"Elam, Richard Mace"
"Elder, Marc"
"Elderdice, J. Raymond"
"Elderkin, G. W. (George Wicker)"
"Eldridge, Edward"
"Eley, C. King"
"Eley, P. H. (Peter Harden)"
"Elfer, William André"
"Elfving, Betty"
"Elger, Thomas Gwyn"
"Elgin, James Bruce, Earl of"
"Elgström, Anna Lenah"
"Elia, Augusto"
"Eliot, Charles William"
"Eliot, Charles, Sir"
"Eliot, Ethel Cook"
"Eliot, George"
"Eliot, T. S. (Thomas Stearns)"
"Ellacombe, Henry Nicholson"
"Ellanby, Boyd"
"Ellenborough, Edward Law, Earl of"
"Ellenor, J. B."
"Ellet, E. F. (Elizabeth Fries)"
"Ellicott, C. J. (Charles John)"
"Ellinwood, Frank F. (Frank Field)"
"Elliot, Frances Minto Dickinson"
"Elliot, G. F. Scott (George Francis Scott)"
"Elliot, Robert H. (Robert Henry)"
"Elliott, Calvin"
"Elliott, Charles Wyllys"
"Elliott, Francis Perry"
"Elliott, James Carson"
"Elliott, James, Sir"
"Elliott, Maud Howe"
"Elliott, Walter"
"Ellis, A. B. (Alfred Burdon)"
"Ellis, Arthur"
"Ellis, Beth"
"Ellis, DeLancey M."
"Ellis, Edward Sylvester"
"Ellis, George"
"Ellis, Havelock"
"Ellis, J. Breckenridge (John Breckenridge)"
"Ellis, James Tandy"
"Ellis, John"
"Ellis, Mary"
"Ellis, Robinson"
"Ellis, Walter W."
"Ellis, William Hodgson"
"Ellis, William T."
"Ellms, Charles"
"Ellwanger, George H. (George Herman)"
"Ellwanger, William De Lancey"
"Ellwood, Charles A. (Charles Abram)"
"Ellwood, Thomas"
"Elmendorf, Dwight L. (Dwight Lathrop)"
"Elphinston, James"
"Elsee, J."
"Elsenhans, Theodor"
"Elson, Arthur"
"Elson, Henry W. (Henry William)"
"Elson, William H. (William Harris)"
"Elster, Kristian"
"Elstob, Elizabeth"
"Elton, Charles Isaac"
"Eltzbacher, Paul"
"Elwell, J. B. (Joseph Bowne)"
"Elwes, Alfred"
"Elwin, Edward Fenton"
"Ely, Dinsmore"
"Ely, Helena Rutherfurd"
"Ely, Wilmer M. (Wilmer Mateo)"
"Emanuel, Walter"
"Emerson, Alice B."
"Emerson, Charles Wesley"
"Emerson, Edwin"
"Emerson, Nathaniel Bright"
"Emerson, Ralph Waldo"
"Emerson, Willis George"
"Emerton, Ephraim"
"Emerton, J. H. (James Henry)"
"Emery, Lucilius A. (Lucilius Alonzo)"
"Eminescu, Mihai"
"Emmerich, Anna Katharina"
"Emmons, George Thornton"
"Emmons, Samuel B. (Samuel Bulfinch)"
"Empey, Arthur Guy"
"Enault, Louis"
"Endell, Fritz August Gottfried"
"Endersby, Victor A."
"Endicott, Ruth Belmore"
"Endle, Sidney"
"Endlicher, Stephan"
"Endrődi, Sándor"
"Enelow, H. G. (Hyman Gerson)"
"Enferd, Knut"
"Engel, Alexander"
"Engel, Carl"
"Engel, Georg"
"Engelbach, Alfred H."
"Engelen, Clara"
"Engels, Friedrich"
"England, George Allan"
"English, Douglas"
"English, George Bethune"
"Engström, Albert"
"Ennery, Adolphe d'"
"Ennis, Luna May"
"Ennis, William Duane"
"Enochs, J. B. (James Byron)"
"Enock, C. Reginald (Charles Reginald)"
"Enton, Harry"
"Epps, Margaret T. Van"
"Epstein, Beryl"
"Equiano, Olaudah"
"Equilbecq, François-Victor"
"Erasmus, Desiderius"
"Erckmann, Émile"
"Erdman, Charles Rosenbury"
"Erdélyi, János"
"Eric, Allan"
"Erichsen, Hugo"
"Erichsen, L. Mylius (Ludvig Mylius)"
"Erickson, Joel A."
"Erkko, J. H."
"Ernst, Clayton H. (Clayton Holt)"
"Ernst, Paul"
"Erredge, John Ackerson"
"Errico, Daniel"
"Erskine, Payne"
"Erter, Isaac"
"Ervast, Pekka"
"Ervasti, A. W."
"Ervine, St. John G. (St. John Greer)"
"Escher, Franklin"
"Eschstruth, Nataly von"
"Escott, T. H. S. (Thomas Hay Sweet)"
"Esdaile, Arundell James Kennedy"
"Esdaile, Katharine Ada"
"Eshbach, Lloyd Arthur"
"Espanca, Florbela de Alma da Conceição"
"Espanet, Alexis"
"Espina, Concha"
"Espinosa, Ramón J."
"Espronceda, José de"
"Esquiros, Alphonse"
"Esslemont, J. E. (John Ebenezer)"
"Estabrooke, Edward M."
"Estes, Rufus"
"Estlander, Carl Gustaf"
"Estébanez Calderón, Serafín"
"Etlar, Carit"
"Etten, Gerard Van"
"Ettlinger, Karl"
"Euangelides, Tryphon E."
"Eubank, Rice S."
"Eucken, Rudolf"
"Europaeus, D. E. D. (David Emanuel Daniel)"
"Eurén, Gustaf Erik"
"Eutropius, Flavius"
"Evans, A. J. (Alfred John)"
"Evans, Augusta J. (Augusta Jane)"
"Evans, C. S. (Charles Seddon)"
"Evans, Caradoc"
"Evans, Cerinda W."
"Evans, Charles"
"Evans, Christmas"
"Evans, Christopher"
"Evans, Conway"
"Evans, Dean"
"Evans, Donald"
"Evans, E. Everett (Edward Everett)"
"Evans, E. P. (Edward Payson)"
"Evans, Evan"
"Evans, George Fullerton"
"Evans, Henry Ridgely"
"Evans, John"
"Evans, Larry"
"Evans, Robert J."
"Evans, William"
"Evans-Wentz, W. Y. (Walter Yeeling)"
"Evarts, Hal G. (Hal George)"
"Evarts, William Maxwell"
"Eveleth, Stanford"
"Evelyn, John"
"Everett, Alexander Hill"
"Everett, Edward"
"Everett, Marshall"
"Everett-Green, Evelyn"
"Everitt, Graham"
"Everitt, Nicholas"
"Eversley, G. Shaw-Lefevre (George Shaw-Lefevre), Baron"
"Everts, Katherine Jewell"
"Everts, Truman"
"Ewald, Carl"
"Ewald, Johannes"
"Ewell, Martha Lewis Beckwith"
"Ewers, Hanns Heinz"
"Ewing, Juliana Horatia Gatty"
"Exposición Histórico-Americana (1892 : Madrid, Spain)"
"Exquemelin, A. O. (Alexandre Olivier)"
"Eyerman, John"
"Eyles, Leonora"
"Eyre, Edward John"
"Eyre, J. W. H. (John William Henry)"
"Eyre-Todd, George"
"Eyster, William R. (William Reynolds)"
"Eyth, Max"
"Eça, Vicente de Almeida de"
"Eötvös, József, báró"
"Faber, A. W."
"Fabre, Euryale"
"Fabre, Ferdinand"
"Fabre, Jean-Henri"
"Faduma, Orishatukeh"
"Fagg, John Gerardus"
"Faguet, Émile"
"Fahy, Patrick"
"Fain, Agathon-Jean-François, baron"
"Fairbanks, Charles Bullard"
"Fairbanks, Douglas"
"Fairbanks, George R. (George Rainsford)"
"Fairbanks, Harold W. (Harold Wellman)"
"Fairchild, Geo. T. (George Thompson)"
"Fairchild, Marian"
"Fairgoer, Famed First Friday"
"Fairham, William"
"Fairholt, F. W. (Frederick William)"
"Fairless, Michael"
"Fairman, Paul W."
"Falckenberg, Richard"
"Falconer, Lanoe"
"Falconer, William"
"Falke, Gustav"
"Falkman, Charlotta"
"Falkner, John Meade"
"Falkner, Thomas"
"Falkner, William C. (Clark)"
"Fallgatter, Florence"
"Fallon, David"
"Fallows, Samuel"
"Falls, Cyril"
"Falstaffe, John, Sir"
"Faltaits, Kostas"
"Fan, Chengda"
"Fanfani, Pietro"
"Fanny, Aunt"
"Fanshawe, Anne Harrison, Lady"
"Fantus, Bernard"
"Faraday, L. Winifred"
"Faraday, Michael"
"Farber, Eduard"
"Farges, Albert"
"Faribault, G.-B. (Georges-Barthélemi)"
"Farina, Salvatore"
"Faris, John T. (John Thomson)"
"Farjeon, B. L. (Benjamin Leopold)"
"Farjeon, Eleanor"
"Farley, Frank Edgar"
"Farley, Frank Webster"
"Farley, Ralph Milne"
"Farmer, John Stephen"
"Farmer, Lydia Hoyt"
"Farmer, Philip José"
"Farnham, Albert Burton"
"Farnham, Thomas Jefferson"
"Farningham, Marianne"
"Farnol, Jeffery"
"Farnsworth, Sidney"
"Farquhar, Franklin Smith"
"Farquhar, George"
"Farr, Edward"
"Farr, Julia"
"Farrand, Max"
"Farrar, Adam Storey"
"Farrar, F. W. (Frederic William)"
"Farrar, Frederic W."
"Farrar, Geraldine"
"Farrar, J. Maurice"
"Farrar, John Chipman"
"Farrell, Joseph"
"Farrer, James Anson"
"Farrer, James"
"Farrow, G. E. (George Edward)"
"Farrère, Claude"
"Fassett, James H. (James Hiram)"
"Faucher, Leon"
"Faudel, Henry"
"Faughnan, Thomas"
"Faul, Henry"
"Faulds, Henry"
"Faulkner, Georgene"
"Faulkner, Thomas A."
"Fausböll, V."
"Faux, W. (William)"
"Favenc, Ernest"
"Faversham, Julie Opp"
"Fawcett, Edgar"
"Fawcett, Millicent Garrett, Dame"
"Fay, Amy"
"Fay, C. H."
"Fea, Allan"
"Fea, Samuel"
"Fearing, Vern"
"Fechner, Gustav Theodor"
"Fee, Greg"
"Fee, Mary H. (Mary Helen)"
"Feehan, Mary Edward"
"Fehrenbach, T. R."
"Fei, Xin"
"Feijó, António Joaquim de Castro"
"Feild, Edward"
"Feilde, Matthew"
"Feindel, E. (Eugène)"
"Feis, Herbert"
"Feis, Jacob"
"Feith, Jan"
"Feldhaus, Franz Maria"
"Feldman, Arthur"
"Felix, Charles"
"Fell, Archie"
"Fellowes, W. D. (William Dorset)"
"Felton, Samuel"
"Feng, Menglong"
"Feng, Yan, jin shi 756"
"Fenis, M."
"Fenn, Amor"
"Fenn, George Manville"
"Fenollosa, Mary McNeil"
"Fenwick, E. (Eliza)"
"Ferber, Edna"
"Ferdinando I, Grand-Duke of Tuscany"
"Ferguson, Adam"
"Ferguson, Donald"
"Ferguson, Eugene S."
"Ferguson, John L. (John Lewis)"
"Ferguson, Robert"
"Ferguson, W. B. M. (William Blair Morton)"
"Fergusson, Harvey"
"Fergusson, James"
"Ferlaine, J. Anthony"
"Ferland, Albert"
"Ferland, Jean-B.-A. (Jean-Baptiste-Antoine)"
"Fern, Fanny"
"Fernald, James Champlin"
"Fernando, Aron"
"Fernie, William Thomas"
"Fernow, Bernhard E."
"Fernández Bolívar, Víctor José"
"Fernández Duro, Cesáreo"
"Fernández Juncos, Manuel"
"Fernández de Moratín, Leandro"
"Fernández y González, Manuel"
"Fernández, Juan Patricio"
"Ferrall, S. A. (Simon Ansley)"
"Ferrand, Claudius"
"Ferrar, William John"
"Ferree, Barr"
"Ferreira, António Aurélio da Costa"
"Ferreira, António Florêncio"
"Ferrero, Guglielmo"
"Ferri, Enrico"
"Ferri, Enrique"
"Ferrier, Susan"
"Ferris, Benjamin"
"Ferris, George T. (George Titus)"
"Ferris, William Henry"
"Ferry, Gabriel"
"Fetler, Andrew"
"Fetter, Frank A. (Frank Albert)"
"Feuerbach, Ludwig"
"Feuillet, Octave"
"Feuillet, Raoul-Auger"
"Fewkes, Jesse Walter"
"Feydeau, Ernest"
"Fezensac, Raymond-Aymery-Philippe-Joseph de Montesquiou, duc de"
"Ffoulkes, Charles John"
"Fiacchi, Antonio"
"Fibiger, J. (Johannes)"
"Fibonacci, Leonardo"
"Ficalho, Francisco Manuel de Melo, Conde de"
"Fichte, Johann Gottlieb"
"Fick, H. H. (Henry H.)"
"Ficke, Arthur Davison"
"Fiech, Saint, Bishop of Sletty, active 6th century"
"Field, Al. G. (Alfred Griffith)"
"Field, Chester"
"Field, Claud"
"Field, Cyril"
"Field, David Dudley"
"Field, Ellen Robena"
"Field, Eugene"
"Field, George"
"Field, Henry M. (Henry Martyn)"
"Field, Kate"
"Field, Maria Antonia"
"Field, Nathaniel"
"Field, Roswell Martin"
"Field, Salisbury"
"Field, Stephen J. (Stephen Johnson)"
"Field, Walter"
"Fielding, H. (Harold)"
"Fielding, Henry"
"Fielding, Jane"
"Fielding, Sarah"
"Fields, Annie"
"Fields, James Thomas"
"Figgis, Darrell"
"Figueiredo, Cândido de"
"Figueiredo, Francisco de Paula de"
"Figuier, Louis"
"Filcher, J. A."
"Filiatreault, Aristide"
"Fillebrown, Thomas"
"Fillmore, Millard"
"Fillmore, Parker"
"Filon, Augustin"
"Filson, John"
"Finberg, A. J. (Alexander Joseph)"
"Finch, Richard"
"Finch-Crisp, William"
"Finck, Henry T."
"Finck, Henry Theophilus"
"Finden, W. (William)"
"Findlater, Mary"
"Findlay, Alexander"
"Findlay, George G. (George Gillanders)"
"Findley, James S. (James Smith)"
"Fine, Henry B. (Henry Burchard)"
"Fink, Bruce"
"Finlay, Roger Thompson"
"Finlayson, George"
"Finley, John H. (John Huston)"
"Finley, Martha"
"Finley, Robert B."
"Finn, Francis J. (Francis James)"
"Finn, Frank"
"Finn, James"
"Finnemore, John"
"Finot, Jean"
"Finsch, Otto"
"Finze, Kate John"
"Fiorini, Vittorio"
"Fire-Fly, Fanny"
"Firebaugh, Ellen M."
"Firkins, Ina Ten Eyck"
"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
"Fischer, Eugen"
"Fischer, Friedrich Christoph Jonathan"
"Fischer, George Alexander"
"Fischer, Henry W. (Henry William)"
"Fischer, J. Cree (Jerry Cree)"
"Fischer, Kuno"
"Fish, Carl Russell"
"Fish, Simon"
"Fishburne, William Brett"
"Fisher, A. Hugh (Alfred Hugh)"
"Fisher, Blanche Proctor"
"Fisher, David E."
"Fisher, Dorothy Canfield"
"Fisher, Frederick Vining"
"Fisher, George Park"
"Fisher, H. A. L. (Herbert Albert Laurens)"
"Fisher, Joseph, F.R.H.S."
"Fisher, Peter"
"Fisher, Sophie"
"Fisher, Sydney George"
"Fisheries, Commissioners on"
"Fishwick, Henry"
"Fisk, Eugene Lyman"
"Fisk, W. W. (Walter Warner)"
"Fisk, Wilbur"
"Fiske, Bradley A. (Bradley Allen)"
"Fiske, George Walter"
"Fiske, James"
"Fiske, John"
"Fisler, Annie"
"Fitch, Albert Parker"
"Fitch, Charles"
"Fitch, Clyde"
"Fitch, George Hamlin"
"Fitch, George"
"Fitch, Henry S. (Henry Sheldon)"
"Fitchett, W. H. (William Henry)"
"Fithian, Philip Vickers"
"Fitinghoff, Laura"
"Fittis, Robert Scott"
"Fitz-Gerald, S. J. Adair (Shafto Justin Adair)"
"FitzGerald, Edward"
"FitzGibbon, Mary Agnes"
"FitzPatrick, R. C."
"Fitzgerald, F. Scott (Francis Scott)"
"Fitzgerald, O. P. (Oscar Penn)"
"Fitzgerald, Percy Hetherington"
"Fitzgerald, Robert"
"Fitzhugh, George"
"Fitzhugh, Percy Keese"
"Fitzmaurice-Kelly, James"
"Fitzpatrick, Kathleen"
"Fitzpatrick, Percy"
"Fitzpatrick, William John"
"Fitzwilliam, Ada Wentworth"
"Fiévée, Joseph"
"Flaccus, Horatius"
"Flaccus, Quintus Horatius"
"Flagg, Edmund"
"Flagg, James Montgomery"
"Flake, Otto"
"Flammarion, Camille"
"Flanagan, T. J."
"Flandrau, Charles E. (Charles Eugene)"
"Flandrau, Charles Macomb"
"Flat, Paul"
"Flaubert, Gustave"
"Fleagle, Fred K."
"Fleay, Frederick Gard"
"Flecker, James Elroy"
"Fleeson, Katherine Neville"
"Fleming, Brandon"
"Fleming, David Hay"
"Fleming, George"
"Fleming, J. A. (John Ambrose), Sir"
"Fleming, May Agnes"
"Fleming, Oliver"
"Fleming, Sandford"
"Fleming, Walter L. (Walter Lynwood)"
"Fleming, William"
"Flemming, Louis A. (Louis Andrew)"
"Flesch-Brunningen, Hans"
"Flesche, Francis la"
"Fletcher, Alice C. (Alice Cunningham)"
"Fletcher, Archibald Lee"
"Fletcher, F. Morley (Frank Morley)"
"Fletcher, Giles"
"Fletcher, Horace"
"Fletcher, J. S. (Joseph Smith)"
"Fletcher, John Gould"
"Fletcher, John"
"Fletcher, Lawrence"
"Fletcher, Robert Huntington"
"Fletcher, Samuel H."
"Fletcher, Samuel"
"Fletcher, William Younger"
"Fleuron, Svend"
"Fleury de Chaboulon, Pierre Alexandre Édouard, baron"
"Fleury, Maurice, comte"
"Flex, Walter"
"Flick, Alexander Clarence"
"Flickinger, Robert Elliott"
"Flight, Edward G."
"Flinders, Matthew"
"Flint, Homer Eon"
"Flint, Robert"
"Flint, Timothy"
"Flint, Violet"
"Flipper, Henry Ossian"
"Floericke, Kurt"
"Flom, George T. (George Tobias)"
"Floquet, Gaston"
"Flor O'Squarr, Ch. (Charles)"
"Flor, Christian"
"Florio, John"
"Flower, Elliott"
"Flower, Sydney Blanshard"
"Floyd, Andress"
"Floyd, Juanita Helm"
"Floyd, Thomas Hope"
"Floyd, William"
"Flygare-Carlén, Emilie"
"Flynn, William J. (William James)"
"Flynt, Josiah"
"Foa, Eugénie"
"Fobes, Walter K."
"Fock, Gorch"
"Fogazzaro, Antonio"
"Fogelberg, Evy"
"Fojas, Justo Claudio"
"Fokke Simonsz, Arend"
"Folengo, Teofilo"
"Foley, James W. (James William)"
"Foley, Kate M."
"Foley, Patrick"
"Folk, Reau Estes"
"Folkard, Richard"
"Follen, Eliza Lee Cabot"
"Folsom, Franklin Brewster"
"Folsom, William H. C. (William Henry Carman)"
"Folwell, William Watts"
"Fonda, Arthur Isaac"
"Fonhus, Mikkjel"
"Fonseca, Augusto de Oliveira Cardoso"
"Fonseca, Faustino da"
"Fonseca, Sebastião da"
"Fontana, Ferdinando"
"Fontane, Theodor"
"Fontenay, Charles L."
"Fontenelle, Jean-Sébastien-Eugène Julia de"
"Fontenoy, marquise de"
"Fonvizin, D. I. (Denis Ivanovich)"
"Foord, Edward"
"Foote, Allen Ripley"
"Foote, G. W. (George William)"
"Foote, H. C."
"Foote, Henry Wilder"
"Foote, John Taintor"
"Foote, Mary Hallock"
"Foote, Samuel"
"Footner, Hulbert"
"Forbes, Archibald"
"Forbes, F. A. (Frances Alice)"
"Forbes, George"
"Forbes, Graham B."
"Forbes, Henry O. (Henry Ogg)"
"Forbes, James"
"Forbes, John Maxwell"
"Forbes, Robert"
"Forbes, S. Russell"
"Forbes-Mitchell, William"
"Forbush, Edward H."
"Force, M. F. (Manning Ferguson)"
"Ford, Arthur Peronneau"
"Ford, Clyde S."
"Ford, Ernest"
"Ford, Ford Madox"
"Ford, Gerald R."
"Ford, Henry Jones"
"Ford, Henry"
"Ford, John Sawtelle"
"Ford, Paul Leicester"
"Ford, Richard"
"Ford, Robert"
"Ford, Sewell"
